Word,total_occurrences,misclassified_occurrences,misclassification_percentage
tue,1,1,100.0
jun,1,1,100.0
foreman,1,1,100.0
preacher,1,1,100.0
fouad,1,1,100.0
mosques,3,3,100.0
prohibits,1,1,100.0
wallonia,1,1,100.0
fn,1,1,100.0
cockerill,1,1,100.0
writ,1,1,100.0
suppose,1,1,100.0
broach,1,1,100.0
condolences,1,1,100.0
peeling,1,1,100.0
bladder,2,2,100.0
medically,1,1,100.0
miracles,1,1,100.0
megalomaniac,1,1,100.0
chopped,1,1,100.0
convenience,1,1,100.0
piecework,1,1,100.0
sessions,1,1,100.0
els,1,1,100.0
burundi,2,2,100.0
urundi,1,1,100.0
colonized,1,1,100.0
historians,1,1,100.0
beurden,1,1,100.0
underscores,1,1,100.0
spec,1,1,100.0
ferraris,1,1,100.0
throttle,1,1,100.0
507,2,2,100.0
394,1,1,100.0
hoof,1,1,100.0
cornerstones,1,1,100.0
angles,1,1,100.0
taped,2,2,100.0
expose,1,1,100.0
bare,1,1,100.0
disarray,1,1,100.0
icy,1,1,100.0
downforce,1,1,100.0
bottas,1,1,100.0
honda,1,1,100.0
ank,2,2,100.0
bijleveld,4,4,100.0
jesse,1,1,100.0
klaver,1,1,100.0
frugal,1,1,100.0
concealment,1,1,100.0
farmhouse,1,1,100.0
stoked,1,1,100.0
antibody,1,1,100.0
potent,1,1,100.0
suppresses,1,1,100.0
immunotherapy,1,1,100.0
hugging,1,1,100.0
untenable,1,1,100.0
discotheques,1,1,100.0
stays,1,1,100.0
1987,1,1,100.0
candor,1,1,100.0
hormonal,2,2,100.0
fstop123,1,1,100.0
mieke,1,1,100.0
goossens,1,1,100.0
kidnappers,1,1,100.0
dumped,1,1,100.0
putten,1,1,100.0
bites,1,1,100.0
pit,1,1,100.0
cor,1,1,100.0
willem,1,1,100.0
holleeder,2,2,100.0
huyse,1,1,100.0
misdeeds,1,1,100.0
leopold,1,1,100.0
adorns,1,1,100.0
africamuseum,1,1,100.0
klaas,1,1,100.0
denying,1,1,100.0
corpse,1,1,100.0
indians,2,2,100.0
apologize,2,2,100.0
personification,1,1,100.0
pagan,2,2,100.0
proponent,1,1,100.0
gaia,2,2,100.0
strictest,2,2,100.0
terraces,2,2,100.0
chat,1,1,100.0
pedro,1,1,100.0
evils,1,1,100.0
eighty,1,1,100.0
fourteen,1,1,100.0
grief,1,1,100.0
exane,1,1,100.0
steelmaker,1,1,100.0
evaporated,2,2,100.0
struggled,1,1,100.0
damrak,1,1,100.0
dives,1,1,100.0
sánchez,1,1,100.0
caterer,1,1,100.0
aperam,1,1,100.0
merged,2,2,100.0
1048,1,1,100.0
rebounded,2,2,100.0
gilead,1,1,100.0
kpn,1,1,100.0
altice,1,1,100.0
staunch,1,1,100.0
doubting,1,1,100.0
vetoing,1,1,100.0
irpin,1,1,100.0
renegotiating,1,1,100.0
analyzes,1,1,100.0
kostantsa,1,1,100.0
rangelova,1,1,100.0
stellenbosch,1,1,100.0
enoch,1,1,100.0
godongwana,1,1,100.0
andre,1,1,100.0
suburb,1,1,100.0
duchy,1,1,100.0
lancaster,1,1,100.0
355,1,1,100.0
teddy,2,2,100.0
lindenburgh,1,1,100.0
hasty,1,1,100.0
sociologist,1,1,100.0
bram,1,1,100.0
büscher,1,1,100.0
wageningen,1,1,100.0
johannesburg,1,1,100.0
